1469834449 INTERNAL *** MONITORD_STARTED ***
1469834444 INTERNAL *** DAGMAN_STARTED 170517.0 ***
1469834449 create_dir_advanced_bioconductor_workflow_0_local SUBMIT 170518.0 local - 1
1469834454 create_dir_advanced_bioconductor_workflow_0_local EXECUTE 170518.0 local - 1
1469834454 create_dir_advanced_bioconductor_workflow_0_local JOB_TERMINATED 170518.0 local - 1
1469834454 create_dir_advanced_bioconductor_workflow_0_local JOB_SUCCESS 0 local - 1
1469834454 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_STARTED 170518.0 local - 1
1469834459 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_TERMINATED 170518.0 local - 1
1469834459 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1469834464 stage_in_remote_local_0_1 SUBMIT 170519.0 local - 2
1469834469 stage_in_remote_local_0_1 EXECUTE 170519.0 local - 2
1469834469 stage_in_remote_local_0_1 JOB_TERMINATED 170519.0 local - 2
1469834469 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 2
1469834469 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 170519.0 local - 2
1469834474 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 170519.0 local - 2
1469834474 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 2
1469834474 stage_in_remote_local_0_0 SUBMIT 170520.0 local - 3
1469834480 stage_in_remote_local_0_0 EXECUTE 170520.0 local - 3
1469834485 stage_in_remote_local_0_0 JOB_TERMINATED 170520.0 local - 3
1469834485 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 3
1469834485 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 170520.0 local - 3
1469834490 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 170520.0 local - 3
1469834490 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1469834490 stage_in_remote_local_8_0 SUBMIT 170521.0 local - 4
1469834495 stage_in_remote_local_8_0 EXECUTE 170521.0 local - 4
1469834495 stage_in_remote_local_8_0 JOB_TERMINATED 170521.0 local - 4
1469834495 stage_in_remote_local_8_0 JOB_SUCCESS 0 local - 4
1469834495 stage_in_remote_local_8_0 POST_SCRIPT_STARTED 170521.0 local - 4
1469834501 stage_in_remote_local_8_0 POST_SCRIPT_TERMINATED 170521.0 local - 4
1469834501 stage_in_remote_local_8_0 POST_SCRIPT_SUCCESS 0 local - 4
1469834501 stage_in_remote_local_7_0 SUBMIT 170522.0 local - 5
1469834506 stage_in_remote_local_7_0 EXECUTE 170522.0 local - 5
1469834506 stage_in_remote_local_7_0 JOB_TERMINATED 170522.0 local - 5
1469834506 stage_in_remote_local_7_0 JOB_SUCCESS 0 local - 5
1469834506 stage_in_remote_local_7_0 POST_SCRIPT_STARTED 170522.0 local - 5
1469834511 stage_in_remote_local_7_0 POST_SCRIPT_TERMINATED 170522.0 local - 5
1469834511 stage_in_remote_local_7_0 POST_SCRIPT_SUCCESS 0 local - 5
1469834511 e.preprocess_ID0000001 SUBMIT 170523.0 local - 6
1469834516 e.preprocess_ID0000001 EXECUTE 170523.0 local - 6
1469834546 e.preprocess_ID0000001 JOB_TERMINATED 170523.0 local - 6
1469834546 e.preprocess_ID0000001 JOB_SUCCESS 0 local - 6
1469834546 e.preprocess_ID0000001 POST_SCRIPT_STARTED 170523.0 local - 6
1469834551 e.preprocess_ID0000001 POST_SCRIPT_TERMINATED 170523.0 local - 6
1469834551 e.preprocess_ID0000001 POST_SCRIPT_SUCCESS 0 local - 6
1469834551 e.count_ID0000002 SUBMIT 170524.0 local - 7
1469834557 e.count_ID0000002 EXECUTE 170524.0 local - 7
1469834735 INTERNAL *** DAGMAN_FINISHED 2 ***
1469834741 INTERNAL *** MONITORD_FINISHED 0 ***
