1469832380 INTERNAL *** MONITORD_STARTED ***
1469832374 INTERNAL *** DAGMAN_STARTED 170509.0 ***
1469832379 create_dir_advanced_bioconductor_workflow_0_local SUBMIT 170510.0 local - 1
1469832384 create_dir_advanced_bioconductor_workflow_0_local EXECUTE 170510.0 local - 1
1469832384 create_dir_advanced_bioconductor_workflow_0_local JOB_TERMINATED 170510.0 local - 1
1469832384 create_dir_advanced_bioconductor_workflow_0_local JOB_SUCCESS 0 local - 1
1469832384 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_STARTED 170510.0 local - 1
1469832389 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_TERMINATED 170510.0 local - 1
1469832389 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1469832394 stage_in_remote_local_0_1 SUBMIT 170511.0 local - 2
1469832399 stage_in_remote_local_0_1 EXECUTE 170511.0 local - 2
1469832399 stage_in_remote_local_0_1 JOB_TERMINATED 170511.0 local - 2
1469832399 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 2
1469832399 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 170511.0 local - 2
1469832405 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 170511.0 local - 2
1469832405 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 2
1469832405 stage_in_remote_local_0_0 SUBMIT 170512.0 local - 3
1469832410 stage_in_remote_local_0_0 EXECUTE 170512.0 local - 3
1469832415 stage_in_remote_local_0_0 JOB_TERMINATED 170512.0 local - 3
1469832415 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 3
1469832415 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 170512.0 local - 3
1469832420 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 170512.0 local - 3
1469832420 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1469832420 stage_in_remote_local_8_0 SUBMIT 170513.0 local - 4
1469832425 stage_in_remote_local_8_0 EXECUTE 170513.0 local - 4
1469832425 stage_in_remote_local_8_0 JOB_TERMINATED 170513.0 local - 4
1469832425 stage_in_remote_local_8_0 JOB_SUCCESS 0 local - 4
1469832425 stage_in_remote_local_8_0 POST_SCRIPT_STARTED 170513.0 local - 4
1469832431 stage_in_remote_local_8_0 POST_SCRIPT_TERMINATED 170513.0 local - 4
1469832431 stage_in_remote_local_8_0 POST_SCRIPT_SUCCESS 0 local - 4
1469832431 stage_in_remote_local_7_0 SUBMIT 170514.0 local - 5
1469832436 stage_in_remote_local_7_0 EXECUTE 170514.0 local - 5
1469832436 stage_in_remote_local_7_0 JOB_TERMINATED 170514.0 local - 5
1469832436 stage_in_remote_local_7_0 JOB_SUCCESS 0 local - 5
1469832436 stage_in_remote_local_7_0 POST_SCRIPT_STARTED 170514.0 local - 5
1469832441 stage_in_remote_local_7_0 POST_SCRIPT_TERMINATED 170514.0 local - 5
1469832441 stage_in_remote_local_7_0 POST_SCRIPT_SUCCESS 0 local - 5
1469832441 e.preprocess_ID0000001 SUBMIT 170515.0 local - 6
1469832446 e.preprocess_ID0000001 EXECUTE 170515.0 local - 6
1469832476 e.preprocess_ID0000001 JOB_TERMINATED 170515.0 local - 6
1469832476 e.preprocess_ID0000001 JOB_SUCCESS 0 local - 6
1469832476 e.preprocess_ID0000001 POST_SCRIPT_STARTED 170515.0 local - 6
1469832481 e.preprocess_ID0000001 POST_SCRIPT_TERMINATED 170515.0 local - 6
1469832481 e.preprocess_ID0000001 POST_SCRIPT_SUCCESS 0 local - 6
1469832481 e.count_ID0000002 SUBMIT 170516.0 local - 7
1469832487 e.count_ID0000002 EXECUTE 170516.0 local - 7
1469832570 INTERNAL *** DAGMAN_FINISHED 2 ***
1469832575 INTERNAL *** MONITORD_FINISHED 0 ***
